rank,lag_steps,latency_s,acceleration_std_mps2,position_rmse_m,hidden_rmse_m,compute_us_per_step,score,valid
1,20,2.0,0.3,0.01253232656460246,0.027648717076846716,1800.8802290372669,0.13002300676061787,True
2,10,1.0,0.3,0.01951238879606128,0.052002806928693746,1043.086995341615,0.1383783390959342,True
3,20,2.0,0.65,0.015909203658608116,0.03617130329533859,1789.240722826087,0.14595097305813773,True
4,10,1.0,0.65,0.022277447945152556,0.05886372623575762,1042.1715201863356,0.1514164677025157,True
5,20,2.0,1.0,0.0207991639677354,0.05062141826292539,1793.2716211180125,0.17259672378448376,True
6,10,1.0,1.0,0.027331228926594623,0.0736328810074853,1041.7468874223603,0.1786154881862698,True
7,5,0.5,0.3,0.03142101312572265,0.09022338174645726,650.7154681677019,0.1897703951087626,True
8,40,4.0,0.3,0.012427127828862239,0.0263682374836233,3129.677454192547,0.1945730331381481,True
9,5,0.5,0.65,0.03423920285020389,0.09752910225962204,650.437546583851,0.20354160717131398,True
10,40,4.0,0.65,0.016458998141001966,0.03682171758307266,3124.758158385093,0.21418673768331284,True
11,5,0.5,1.0,0.03931630735592388,0.11240308683658984,649.9085962732919,0.2309191095362745,True
12,40,4.0,1.0,0.021368971743641642,0.050565555549496946,3130.5051467391304,0.2398274080026697,True
13,0,0.0,0.3,0.04836905844611546,0.13902512343435502,237.74056677018632,0.2616615549330517,True
14,0,0.0,0.65,0.051997757436092064,0.14852061536725794,236.4744534161491,0.279508169555302,True
15,0,0.0,1.0,0.057630062473694635,0.16528372407691674,236.35530124223604,0.31028275461391447,True
