estimator,rank,valid,score,position_rmse_m,hidden_position_rmse_m,future_rmse_m,p95_error_m,overconfidence_fraction,brier_score,compute_us_per_step,candidate_json
formal_imm,1,True,0.3933089991442603,0.045048391350160345,0.13075915066940988,0.12451880254582924,0.032847200164176076,0.03467908902691511,0.09007086091604703,3869.374276138716,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.5, ""smooth_acceleration_std_mps2"": 0.01, ""transition_stay_probability"": 0.99}"
formal_imm,2,True,0.39576615745473265,0.045515914343619124,0.13202934369461886,0.12594180314005932,0.033800636041436606,0.03985507246376811,0.06440108659611041,3940.4855046583853,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.75, ""smooth_acceleration_std_mps2"": 0.01, ""transition_stay_probability"": 0.99}"
formal_imm,3,True,0.3959857986261156,0.04566248835856742,0.13243828012161707,0.12525998436679978,0.03906342627762245,0.03390269151138716,0.08213195246443175,3871.6216752070395,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.5, ""smooth_acceleration_std_mps2"": 0.03, ""transition_stay_probability"": 0.99}"
formal_imm,4,True,0.3966883533891896,0.04600225053776427,0.1333495705099837,0.12639613913728967,0.040016537796233216,0.038302277432712216,0.05943437357349465,3884.500620859213,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.75, ""smooth_acceleration_std_mps2"": 0.03, ""transition_stay_probability"": 0.99}"
formal_imm,5,True,0.3967086013639338,0.046054571357806065,0.13355434115913337,0.12741034222989692,0.03556116107531404,0.039337474120082816,0.05039314466143875,3882.214263716356,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 1.0, ""smooth_acceleration_std_mps2"": 0.015, ""transition_stay_probability"": 0.99}"
formal_imm,6,True,0.3972795787525615,0.045593205548187944,0.13222865756109253,0.1259885758986596,0.034576023591546,0.038561076604554864,0.0635391040926416,4006.954042184265,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.75, ""smooth_acceleration_std_mps2"": 0.015, ""transition_stay_probability"": 0.99}"
formal_imm,7,True,0.39772899424580765,0.04637075318161177,0.13442160042960177,0.12760904567750403,0.040499815751952634,0.03881987577639751,0.047400208315588555,3864.9654585921326,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 1.0, ""smooth_acceleration_std_mps2"": 0.03, ""transition_stay_probability"": 0.99}"
formal_imm,8,True,0.39931271841265237,0.045165703801441644,0.1310778953402405,0.12466039417138217,0.03401281932949896,0.034420289855072464,0.08869748599009773,4144.409846532091,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.5, ""smooth_acceleration_std_mps2"": 0.015, ""transition_stay_probability"": 0.99}"
formal_imm,9,True,0.4019840084202307,0.04599768794862444,0.13341045985316233,0.12740553662817897,0.03436605105587233,0.039337474120082816,0.05111524541334353,4156.129521221532,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 1.0, ""smooth_acceleration_std_mps2"": 0.01, ""transition_stay_probability"": 0.99}"
formal_imm,10,True,0.4071177681521717,0.0475123238925491,0.13797851730935312,0.12836481635807306,0.04643456240444844,0.02510351966873706,0.07739692580324539,3910.260778467909,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.5, ""smooth_acceleration_std_mps2"": 0.015, ""transition_stay_probability"": 0.97}"
formal_imm,11,True,0.40793946012644383,0.04746014445466315,0.1378265705332264,0.12829354137830992,0.046178416859254154,0.025362318840579712,0.07765835466429978,3964.531091614907,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.5, ""smooth_acceleration_std_mps2"": 0.01, ""transition_stay_probability"": 0.97}"
formal_imm,12,True,0.40969378046533117,0.048319999517756576,0.1403719164696529,0.13042854632456624,0.04880329533938397,0.017857142857142856,0.05441430146029513,3918.7244324534163,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.75, ""smooth_acceleration_std_mps2"": 0.015, ""transition_stay_probability"": 0.97}"
formal_imm,13,True,0.41140562869973724,0.04827775950284864,0.14024738471696865,0.13037300757327655,0.048672260196813685,0.018374741200828156,0.054584066836585815,4013.720376552795,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.75, ""smooth_acceleration_std_mps2"": 0.01, ""transition_stay_probability"": 0.97}"
formal_imm,14,True,0.4119523814665115,0.04777604461152724,0.13874813594299262,0.12873292670436867,0.04823826732910885,0.024327122153209108,0.07608750897834726,4082.310323757764,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.5, ""smooth_acceleration_std_mps2"": 0.03, ""transition_stay_probability"": 0.97}"
formal_imm,15,True,0.4119579089833714,0.048981000737997056,0.14236159779235225,0.13216869940464632,0.049561178211046254,0.015786749482401656,0.04300212874191625,3873.563701604555,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 1.0, ""smooth_acceleration_std_mps2"": 0.015, ""transition_stay_probability"": 0.97}"
formal_imm,16,True,0.4124257476286701,0.04853857918777487,0.14101713772078928,0.13072461335725605,0.04974402750842829,0.016045548654244308,0.053579984005450304,4001.8300957556935,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.75, ""smooth_acceleration_std_mps2"": 0.03, ""transition_stay_probability"": 0.97}"
formal_imm,17,True,0.41269979697572756,0.049173791354830944,0.14293362043405197,0.13242393300266364,0.051376891127940624,0.014492753623188406,0.04245911646540655,3860.9210729813667,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 1.0, ""smooth_acceleration_std_mps2"": 0.03, ""transition_stay_probability"": 0.97}"
formal_imm,18,True,0.4143471805882365,0.048944195850948044,0.14225244256400424,0.1321215709311319,0.0489750875791615,0.015786749482401656,0.04311279033376613,4003.679072204969,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 1.0, ""smooth_acceleration_std_mps2"": 0.01, ""transition_stay_probability"": 0.97}"
formal_imm,19,True,0.4231693568528305,0.04983416882536449,0.14479085815779588,0.13232649389332665,0.055419761334881454,0.014492753623188406,0.09340941090485703,3959.7718695652175,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.5, ""smooth_acceleration_std_mps2"": 0.03, ""transition_stay_probability"": 0.95}"
formal_imm,20,True,0.42433519731451236,0.049653943850697,0.14425680360759796,0.13203977209036546,0.05525569159038981,0.014492753623188406,0.09360845433736793,4073.3020605590063,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.5, ""smooth_acceleration_std_mps2"": 0.015, ""transition_stay_probability"": 0.95}"
formal_imm,21,True,0.42835506601835127,0.05097253776588363,0.14818470119396768,0.13524375241439382,0.058435543083365696,0.009057971014492754,0.07005447697383399,3978.617772774327,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.75, ""smooth_acceleration_std_mps2"": 0.01, ""transition_stay_probability"": 0.95}"
formal_imm,22,True,0.4307747045654119,0.0511574725758335,0.14873545482158743,0.13554728958222304,0.059135331777763374,0.008799171842650104,0.06987632880164468,4043.6427450828155,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.75, ""smooth_acceleration_std_mps2"": 0.03, ""transition_stay_probability"": 0.95}"
formal_imm,23,True,0.43159458530212497,0.051001902634707046,0.14827215393026363,0.13529163528545338,0.05864458867087612,0.009057971014492754,0.07002472167598046,4131.518243012422,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.75, ""smooth_acceleration_std_mps2"": 0.015, ""transition_stay_probability"": 0.95}"
formal_imm,24,True,0.4330433667055815,0.04961962552801389,0.14415513048926754,0.13198566309617876,0.055240064904290904,0.014233954451345756,0.09364978828289107,4520.491981107661,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.5, ""smooth_acceleration_std_mps2"": 0.01, ""transition_stay_probability"": 0.95}"
formal_imm,25,True,0.43321270275588425,0.05217539026935122,0.15180859434181576,0.13817619238160636,0.06221339760022114,0.008540372670807454,0.05759244788182198,3881.152136387164,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 1.0, ""smooth_acceleration_std_mps2"": 0.015, ""transition_stay_probability"": 0.95}"
formal_imm,26,True,0.433823467786222,0.05214938772171296,0.1517310299374181,0.13813291832757194,0.061988736285739414,0.008540372670807454,0.057616461239955376,3919.7696301759834,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 1.0, ""smooth_acceleration_std_mps2"": 0.01, ""transition_stay_probability"": 0.95}"
formal_imm,27,True,0.4344579165216002,0.05231379365654309,0.15222142323013504,0.13840809217909628,0.06256887679384872,0.008799171842650104,0.05747022158049703,3899.050129399586,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 1.0, ""smooth_acceleration_std_mps2"": 0.03, ""transition_stay_probability"": 0.95}"
formal_imm,28,True,0.4591125606660809,0.05439173833812038,0.15830811604495326,0.14076590099184322,0.06851794903672434,0.010869565217391304,0.15781966512021048,4000.3387365424433,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.5, ""smooth_acceleration_std_mps2"": 0.01, ""transition_stay_probability"": 0.9}"
formal_imm,29,True,0.461502970945884,0.054490720330789756,0.1586044182571966,0.1409519524187743,0.0688606065623655,0.011128364389233954,0.15814278940202048,4085.1265820393373,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.5, ""smooth_acceleration_std_mps2"": 0.03, ""transition_stay_probability"": 0.9}"
formal_imm,30,True,0.467417898521782,0.05440733270412211,0.15835479879823808,0.14079516658006577,0.06859339604698012,0.010869565217391304,0.15787012818882756,4410.340749482401,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.5, ""smooth_acceleration_std_mps2"": 0.015, ""transition_stay_probability"": 0.9}"
formal_imm,31,True,0.4764741816414168,0.05756569563778754,0.16780646603347701,0.1482936356207066,0.07415100661162148,0.008281573498964804,0.12773916270389626,3972.494776138716,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.75, ""smooth_acceleration_std_mps2"": 0.01, ""transition_stay_probability"": 0.9}"
formal_imm,32,True,0.48041326197345074,0.05757902408532145,0.1678464845761281,0.1483202700284267,0.07414188474688006,0.008540372670807454,0.1277667841138006,4163.683016563147,"{""future_horizon_s"": 1.0, ""maneuver_acceleration_std_mps2"": 0.75, ""smooth_acceleration_std_mps2"": 0.015, ""transition_stay_probability"": 0.9}"
